Country,Region,Income Level,Healthcare System Type,Healthcare Expenditure (% GDP),Hospitals per Million People,"Doctors per 1,000 People",Average Life Expectancy,"Infant Mortality Rate (per 1,000)",Universal Healthcare Coverage (%),Vaccination Rate (%),Wait Time for Treatment (Days),Patient Satisfaction Score (1-10),"Medical Staff per 1,000 People","Hospital Beds per 1,000 People",Emergency Response Time (Minutes),Healthcare Quality Index (0-100),Spending Efficiency Score (0-100)
Syria,Middle East,Lower-Middle,Mixed,5.025536726,90,1.710883412,73.31750909,12.2686275,61.06261608,61.2307875,102,5.713488829,7.267941507,2.854504594,35,54.55399475,17.56320114
Tanzania,Africa,Lower-Middle,Single-payer,2.54184008,80,1.211708958,67.47093326,22.94838147,41.5727176,64.25917359,108,4.364859722,9.037528814,1.788815086,26,41.15480697,40.02511407
South Korea,East Asia,High,Mixed,12.31406201,497,6.944002869,83.27635671,4.797782209,84.80868933,108.9224719,41,7.479138124,13.64920612,9.054278509,18,87.17199403,5.017133135
Greece,Western Europe,Upper-Middle,Single-payer,9.06739877,235,2.817674101,78.53584562,8.92601662,109.6851385,67.53240393,107,8.64755894,8.364981177,2.62705959,21,67.71182776,7.989346138
Singapore,East Asia,High,Single-payer,3.908373019,452,2.874748126,83.2021669,7.194243033,99.26129543,109.4305914,27,8.761993171,14.21886409,6.763501761,12,84.03883526,27.10569272
Ethiopia,Africa,Low,Multi-payer,1.165357971,27,0.965181536,70.31637783,41.29947438,26.03499593,44.16134263,110,3.843677576,3.23693082,2.349988927,80,27.87589044,92.98688348
Chile,South America,High,Mixed,13.23962314,562,3.162185541,84.75688653,3.196531514,99.51272422,78.68419641,14,7.052473148,11.79234417,3.096959504,19,79.68587088,5.380414077
Afghanistan,South Asia,Low,Single-payer,3.960129704,38,0.42488023,66.53156913,30.57138631,36.66564857,31.49331785,182,4.008687454,5.153637172,1.717548981,56,30.96938371,20.79413897
Bhutan,South Asia,Lower-Middle,Mixed,3.86140184,103,2.318533252,70.15253133,21.34193664,61.90208727,66.59398114,106,3.518333657,5.40265292,1.992229787,38,44.38210287,27.48988773
Ethiopia,Africa,Low,Multi-payer,1.16391709,29,0.911568689,70.62535934,43.95984856,26.28378106,42.07292664,114,4.063667931,3.365947653,2.23579117,81,26.88528946,90.4225996
Yemen,Middle East,Lower-Middle,Mixed,5.843820339,208,1.08463629,69.00938437,13.99530085,66.2896229,67.63551405,117,6.326818564,7.74412973,1.548468403,31,50.19260476,15.80757171
Mongolia,East Asia,Lower-Middle,Single-payer,2.925403091,237,1.313244256,73.79520491,18.21191547,41.36808563,70.82839347,76,3.67341712,5.290922711,3.73712029,33,50.2590828,33.36796518
Germany,Western Europe,High,Single-payer,11.77522388,410,5.175969612,83.16531998,5.388687186,105.0995835,76.82642102,46,9.680045181,11.63005915,7.648475392,25,87.18395371,6.093176715
Chad,Africa,Low,Multi-payer,4.129725628,26,0.163905452,69.65075357,55.61189161,56.43826057,68.46833845,98,2.809430163,4.740144159,1.431807818,47,28.08810123,20.99385126
Myanmar,East Asia,Low,Mixed,3.074768742,109,1.043514281,63.12996597,44.09192787,32.10897555,39.98482354,64,2.885653396,6.002679996,3.215259291,77,24.1071313,27.49038857
Ireland,Western Europe,High,Single-payer,10.64292022,337,3.34989794,79.2526562,1.755155814,83.13717599,90.20151801,94,8.339724229,11.0645821,4.921071269,15,77.59616108,5.456736399
Philippines,East Asia,Lower-Middle,Multi-payer,3.340363188,250,0.980337584,74.93471238,24.53348251,40.46472333,93.79281588,103,5.320317101,8.088490855,6.410034316,38,54.74537778,34.61106313
Netherlands,Western Europe,High,Single-payer,17.29147728,288,6.767379147,82.51660695,6.225884839,95.38744529,89.76266968,78,10.38380601,11.47301323,6.031247718,11,86.3564239,1.8113711
Philippines,East Asia,Lower-Middle,Multi-payer,2.919574457,269,1.032790788,75.86124574,26.06803736,39.69032543,96.74564518,113,4.629393993,8.116318885,6.648457449,44,54.95622587,33.50227621
Paraguay,South America,Lower-Middle,Single-payer,4.141423915,106,1.774827661,69.53144355,14.57788586,42.8710957,69.85076523,19,4.555233815,4.830806576,2.192024634,23,50.85668332,22.77990827
Bahrain,Middle East,High,Mixed,18.48073631,338,3.666957398,82.37112045,8.055528359,91.01061882,88.66736247,57,9.60626211,10.81373177,7.200588877,11,77.57983037,1.851493854
Bhutan,South Asia,Lower-Middle,Mixed,3.65290117,103,2.391419821,69.7647362,21.75630699,58.2282797,71.28375529,94,3.819216788,5.637687113,1.735156428,38,44.78771234,26.17799253
South Africa,Africa,Upper-Middle,Single-payer,5.951554601,313,2.514007668,77.17830353,15.46682237,91.04777791,75.36253591,60,5.346757379,7.672327405,2.762433873,13,65.32306483,14.61456699
Israel,Middle East,High,Mixed,10.97877576,438,4.216570694,82.56283862,4.671038602,96.11280585,75.25167402,65,8.01521044,13.71717308,7.485839716,20,74.40672979,5.998388305
Bulgaria,Eastern Europe,Upper-Middle,Mixed,5.727222958,158,3.528654242,73.94642486,9.080462928,75.0924447,76.14315775,45,6.606610973,8.195804937,4.091389559,19,66.47396037,18.33793564
Chile,South America,High,Mixed,13.09470135,511,2.874312487,84.04877508,3.161445797,97.92036666,83.59770119,15,7.373413619,14.07146577,3.325923211,19,78.52397084,5.220963163
Slovakia,Eastern Europe,Upper-Middle,Single-payer,7.663335018,279,3.156426821,75.74367616,13.23451469,74.33629845,78.74460526,28,6.066829181,10.04090675,4.053221408,20,61.39003997,10.97632761
Niger,Africa,Low,Mixed,3.475129366,132,0.821158482,52.5784385,37.75152196,-4.563473821,62.73521265,93,3.035495863,2.04186976,1.302021029,72,16.79322866,18.79912598
Singapore,East Asia,High,Single-payer,4.297779345,507,3.369530158,82.83915659,7.530644173,94.87113492,103.7564538,30,8.482919746,15.12160891,6.62673157,12,83.2855027,27.42537405
Cambodia,East Asia,Lower-Middle,Single-payer,7.0535049,102,1.524880165,72.92739295,18.64480748,78.71264421,54.52824677,64,5.293522112,7.761631833,2.557866482,24,53.7699002,12.27161833
Luxembourg,Western Europe,High,Single-payer,13.652217,295,3.020119299,85.17646109,7.905677577,96.44188652,75.53603667,40,8.82250563,13.45206615,6.11150277,12,84.65839969,5.250441544
North Macedonia,Eastern Europe,Lower-Middle,Single-payer,5.044472044,231,1.107957433,68.70943706,13.31451949,67.10398444,54.29508362,82,4.953111195,7.819014731,3.058568405,42,47.05798402,16.60426837
South Korea,East Asia,High,Mixed,13.21125442,514,7.437749802,83.51352956,4.841601095,91.07620182,100.9760838,35,6.831661843,14.98659826,10.15898867,18,84.77411071,5.27885079
North Macedonia,Eastern Europe,Lower-Middle,Single-payer,4.994185486,212,1.028254822,68.51025436,11.53612105,62.38866518,55.92749736,77,4.648612271,8.977193574,2.855390108,44,48.31329552,16.24316901
Angola,Africa,Lower-Middle,Mixed,3.311710045,215,0.867489639,63.44118235,30.32440336,25.11828316,54.82136089,64,5.934630095,8.768558758,3.395184285,38,37.46302453,27.45547126
South Korea,East Asia,High,Mixed,13.68421541,440,7.406502421,82.54064739,4.276538092,87.49461166,98.76144869,40,7.65199748,14.3814831,8.666846267,19,89.02857559,5.159737154
Hong Kong,East Asia,High,Mixed,9.712192853,419,6.379868284,89.56411955,2.62789044,89.920988,82.64120316,85,6.571252035,13.18292894,7.566225991,11,82.4426203,10.31706583
Turkey,Middle East,Upper-Middle,Single-payer,7.598498636,268,2.177851441,78.57809699,7.671715734,84.15375974,86.914161,93,6.68170192,10.58180556,4.702278305,29,70.40275819,10.86846852
Belgium,Western Europe,High,Single-payer,14.58639885,265,7.154325009,81.70694223,3.518467923,116.8240143,86.24522065,51,10.29187057,12.57069116,7.590000754,10,91.80819068,3.401248885
Slovenia,Eastern Europe,High,Single-payer,14.59760735,318,4.335277147,79.97255544,6.593798533,94.59124159,91.90393223,42,7.391297413,14.72594853,7.354436765,9,77.03390762,3.893505717
Bolivia,South America,Lower-Middle,Single-payer,3.803243104,240,1.603614126,70.01395709,13.45958661,51.69687685,79.13270595,52,4.616260508,7.903404236,2.339299888,43,51.51189389,22.56141897
Czech Republic,Eastern Europe,High,Single-payer,18.44021274,289,5.341776841,80.65162953,3.4166409,83.93580512,73.78781706,74,8.347377038,10.00681675,4.379807835,21,74.51587424,1.946675698
Ukraine,Eastern Europe,Lower-Middle,Single-payer,4.538276837,167,1.438470296,68.46346622,30.0573763,64.421608,55.12264959,53,3.777733808,6.389412393,1.580884249,27,41.71066338,20.01960104
Vanuatu,Oceania,Lower-Middle,Single-payer,7.00089571,107,1.625975329,73.39682564,11.26558895,62.49490514,54.86253275,52,4.461743045,5.688254971,3.279546704,37,53.11740312,13.1810044
Singapore,East Asia,High,Single-payer,4.576769203,511,3.372883504,83.29309258,7.787084183,95.42751505,107.098955,26,8.061643278,15.36710266,6.593882109,13,82.20586416,27.33498606
North Korea,East Asia,Low,Single-payer,4.04589537,81,0.994361312,61.00585376,41.43021777,53.38107162,34.9985144,74,2.692020535,3.384384322,5.356292177,96,26.09801673,21.87672977
Angola,Africa,Lower-Middle,Mixed,3.391986409,188,0.887860101,62.69416873,30.14796592,24.07628882,52.71945811,62,5.5697815,8.494001578,3.71242482,40,39.27639214,27.50806535
Spain,Western Europe,High,Multi-payer,10.17520345,577,3.46440231,80.22341882,6.257042268,110.3120377,79.22048458,68,6.994867593,10.85401179,4.634581905,21,75.28976165,6.848509055
Niger,Africa,Low,Mixed,3.439741818,128,0.800509702,51.89800629,38.29666108,-4.420078341,65.32718609,93,2.780388748,1.9706334,1.343813069,62,17.46315252,19.61878284
South Africa,Africa,Upper-Middle,Single-payer,5.963628125,288,2.424676733,77.03947748,14.35670176,90.64620861,80.03813906,64,6.189819819,7.715105122,2.576258916,13,63.27607195,15.23784717
Mexico,North America,Upper-Middle,Single-payer,9.546814614,228,3.622651299,78.28306997,11.48263029,74.50192513,66.42822123,77,6.73063349,8.544484612,2.056273806,17,62.37691297,7.126850185
India,South Asia,Lower-Middle,Mixed,4.86617003,123,2.01221972,72.93627444,23.40244478,71.56294801,55.21096476,82,3.723240073,9.65718769,1.661387139,26,50.374679,20.29999
Indonesia,East Asia,Lower-Middle,Mixed,5.735106762,203,2.279224263,69.14128567,28.41843384,61.76982942,90.89060061,45,5.115283977,4.747939032,3.514833431,37,51.97956104,12.88639316
Syria,Middle East,Lower-Middle,Mixed,5.186984834,85,1.505477569,73.71947232,12.75653483,64.14117388,59.42574998,101,4.900879043,6.641782956,2.729990478,40,53.14764726,17.13239569
Austria,Western Europe,High,Mixed,9.490913619,421,3.777951291,79.51101559,7.532970117,86.98970406,88.36114388,62,8.386604208,13.86953405,7.449955257,18,80.13140104,8.420770004
Angola,Africa,Lower-Middle,Mixed,3.346075189,207,0.915948503,63.07093981,26.67040026,24.57150494,53.37418423,63,5.627432841,9.102407764,3.544332179,38,37.43930793,26.36775822
Jordan,Middle East,Upper-Middle,Single-payer,5.544992455,190,3.898394312,74.4264008,7.57910972,83.35465432,89.87489196,51,6.232139394,10.04128339,3.355124075,28,67.21986998,14.22634999
Saudi Arabia,Middle East,High,Mixed,12.08576001,543,5.699442892,79.62982521,5.050108929,86.11236523,97.41123189,65,7.341466216,9.740326069,4.227439642,10,78.82135027,5.68530273
Saudi Arabia,Middle East,High,Mixed,11.18585061,529,4.919918964,80.36781425,5.154879319,86.01042244,96.4700871,58,6.170192948,10.03865201,3.89841762,11,72.75433818,5.29886891
Ecuador,South America,Upper-Middle,Mixed,8.565672566,267,2.715839961,74.35051821,9.935720654,88.7407796,72.02134603,78,5.587348267,8.158131485,3.583686616,35,59.09193131,9.117702444
Sweden,Western Europe,High,Single-payer,7.488105825,281,5.915094722,82.42103258,5.640652585,112.5336646,89.47906937,108,6.43352683,12.93135506,4.927207435,22,78.49082592,10.74681563
Japan,East Asia,High,Mixed,7.959037127,476,7.043013055,84.6272783,6.839812471,90.09950569,104.1921165,17,6.794706637,15.07436745,8.127023477,17,84.03993011,10.64087855
Iceland,Western Europe,High,Single-payer,18.86350525,497,2.850683395,82.06132915,7.883217322,104.3881666,80.67595276,54,9.550993177,12.70921487,7.488823233,9,82.92984175,1.834354925
Myanmar,East Asia,Low,Mixed,3.193565782,113,1.03910271,62.33574331,39.00509819,29.68846775,36.82845424,65,2.79306607,6.147053167,3.335202684,80,23.77056106,25.81236704
UK,Western Europe,High,Single-payer,9.385148225,361,6.913124214,81.00160479,2.472033261,97.01022695,89.20570361,71,8.139762215,12.40056687,6.827414531,13,80.70158457,7.202814947
Iran,Middle East,Upper-Middle,Single-payer,7.576850517,245,3.327071271,76.92163514,8.517688484,90.05350707,74.98280345,90,5.668225251,8.898559098,3.559011311,21,63.56683887,10.28444481
Czech Republic,Eastern Europe,High,Single-payer,17.40324876,323,4.669083628,80.46224754,3.119818363,88.7358622,75.40207454,72,10.11399792,9.962972355,4.883769687,20,76.45244506,2.011067226
USA,North America,High,Multi-payer,16.13790511,380,7.500180606,78.56052769,4.430586027,92.9575476,85.21189953,22,8.822787394,11.28628183,7.007750172,13,84.67956727,1.46448115
Libya,Africa,Upper-Middle,Mixed,6.109933755,252,2.600474006,77.14641153,6.862565465,66.50125867,69.04618017,15,5.874270855,8.200123899,3.769614661,13,66.29388463,13.55882048
Burkina Faso,Africa,Low,Single-payer,5.28021016,47,1.325143991,52.56391883,38.97665472,45.22663885,37.55620135,141,3.439433189,5.691079421,1.006468867,34,21.83167524,12.07179405
Saudi Arabia,Middle East,High,Mixed,10.5446191,537,5.30987422,79.70624092,5.177486515,91.47657341,89.43042267,58,6.376398654,9.992751944,4.344742557,10,76.19065882,5.643859174
Taiwan,East Asia,High,Single-payer,10.68445232,485,5.372331859,85.32730735,4.359398089,94.61545898,80.77910606,27,6.183223336,10.17537439,7.324613316,15,82.80111779,8.324827556
Germany,Western Europe,High,Single-payer,12.76017138,374,4.704926675,83.33613735,5.848769259,110.7871987,80.0196453,53,10.85472883,11.74433031,7.224102,25,89.48646599,6.072383776
Chad,Africa,Low,Multi-payer,4.659139447,25,0.177117501,69.77996703,50.80821832,55.85368022,70.18694878,91,2.849359948,5.037372848,1.463942878,53,28.80013069,20.56047821
Norway,Western Europe,High,Single-payer,15.28383863,281,5.168246575,80.04857549,7.431609438,91.83230264,90.63022026,89,11.40416908,12.06528812,4.83739875,9,81.36504387,2.252428158
Burundi,Africa,Low,Multi-payer,1.369742055,48,0.195997759,66.54561015,42.19411702,25.1755979,52.46555849,99,2.868099573,5.757989147,1.677410425,84,26.85211533,74.78876422
Myanmar,East Asia,Low,Mixed,3.454126536,105,0.985671357,62.54880143,40.26684773,30.63819256,40.25811904,69,2.746394063,6.509397332,3.566575429,70,23.88202953,26.22565133
Niger,Africa,Low,Mixed,3.621796944,126,0.9315164,52.81516386,36.81985023,-4.40763131,61.51376071,91,2.846808267,1.963994511,1.378587195,74,16.4425651,18.67436914
Rwanda,Africa,Low,Single-payer,3.306768126,97,1.105162361,67.16148267,59.37491032,40.79655594,61.15155923,112,5.104040861,2.578502944,1.722424438,39,30.36392431,31.43061471
Iceland,Western Europe,High,Single-payer,16.2950566,467,3.24627839,81.79393926,7.646834874,98.69877279,82.45717385,48,8.598048693,13.10298333,7.909129031,10,76.82393501,1.895704792
Namibia,Africa,Upper-Middle,Multi-payer,6.625104977,289,4.135013772,74.62672794,6.904062833,96.02873694,70.53320293,41,6.285575121,8.361446319,4.372419649,32,68.90868912,12.60754681
Iraq,Middle East,Lower-Middle,Multi-payer,5.497256872,105,1.141556544,74.0897323,21.82379512,63.98744758,77.82993942,58,6.585465217,8.764185619,3.233901947,24,53.41114375,16.64645224
Egypt,Africa,Lower-Middle,Mixed,2.304273507,237,2.269509934,64.20685442,29.08897958,59.46973999,68.05540961,21,6.34319051,6.606607117,2.104703227,23,48.81990306,40.15042399
Saudi Arabia,Middle East,High,Mixed,10.65274509,532,5.606898049,79.53764371,4.818097678,91.88344239,96.05798685,62,7.193270686,11.16278616,4.195460867,11,76.96019838,5.560617259
Canada,North America,High,Multi-payer,21.41348361,394,5.186305036,80.97041606,4.233351689,104.7095474,85.13647883,85,6.171008818,15.85764219,3.759650351,20,75.43332127,0
Denmark,Western Europe,High,Single-payer,13.82628531,503,6.599579357,83.48001191,1.595687398,97.95362936,85.47624129,84,7.54263689,10.53219041,7.829770227,16,80.8246129,3.263470535
Algeria,Africa,Upper-Middle,Mixed,7.0004433,332,3.523838908,70.68464599,7.706187954,57.85255838,77.21561611,56,6.984262235,8.456200103,3.762053496,29,63.24854596,12.43001423
Uruguay,South America,High,Multi-payer,17.36333486,548,5.42754852,80.17031773,5.4225715,96.63943205,98.70356111,92,8.77654512,13.89118365,6.362304354,19,82.25376141,1.988076821
Iran,Middle East,Upper-Middle,Single-payer,8.237278016,270,3.670869035,77.24316165,8.022046608,91.80128089,72.02073942,95,4.990916991,7.763461394,3.351431445,20,64.35965294,10.12270217
Netherlands,Western Europe,High,Single-payer,17.03722838,273,6.254481447,81.73667362,6.482614828,105.0064609,84.27305293,82,9.893969984,11.66503954,5.174052729,11,81.39109753,1.838713732
Ivory Coast,Africa,Lower-Middle,Mixed,4.750062934,144,1.882832276,72.68848073,21.38014361,64.71720519,78.58646914,48,5.907773701,7.517469221,2.940876459,30,56.66567717,19.27240974
Vanuatu,Oceania,Lower-Middle,Single-payer,7.033804143,118,1.535290048,73.27638019,12.419354,65.1247174,58.79024613,60,4.611048327,5.414152462,3.486520308,33,51.94491241,13.61659591
Yemen,Middle East,Lower-Middle,Mixed,5.898618885,212,0.942038768,68.36420669,14.78809906,69.90884023,67.9592211,109,6.219199078,7.975079223,1.556026251,31,51.982432,14.60130464
Mozambique,Africa,Low,Mixed,1.41003896,128,0.871455156,65.09118182,26.30807638,26.24067175,43.4297749,90,3.991051543,5.208932713,1.077539505,90,31.50624816,72.52763947
Libya,Africa,Upper-Middle,Mixed,7.050491829,268,2.533402433,77.46310436,7.429031964,69.2529328,65.59820454,18,6.705838645,7.934027819,4.293498504,15,64.2346345,13.2793703
Chad,Africa,Low,Multi-payer,4.723812602,22,0.179980251,69.63406079,52.03058464,55.51325069,67.27350049,95,3.046481705,4.198874021,1.509751859,47,29.22799731,19.98789518
Oman,Middle East,High,Mixed,13.05517578,389,5.137216749,83.03474495,7.129074246,89.61394161,84.05241999,85,8.886849187,9.846808268,4.998876048,16,79.26118554,4.771509331
Kuwait,Middle East,High,Single-payer,8.572279334,331,3.207526141,84.21176467,1.895789246,89.29484174,91.99992409,35,6.236265322,12.21333912,7.118015641,11,77.79389579,9.998642932
New Zealand,Oceania,High,Single-payer,12.98300444,344,6.657168781,78.13856099,2.345218271,91.22540841,81.01287986,25,8.059213778,12.73910338,6.445323143,18,79.39264549,4.42634338
Finland,Western Europe,High,Single-payer,8.523366872,373,3.930234179,80.56370312,4.832814059,111.7239595,90.72640921,21,10.40958707,14.70240145,5.918101615,10,81.90369813,9.218251944
Bangladesh,South Asia,Low,Mixed,3.315120938,62,0.61317458,52.49014015,58.68968547,43.49783001,55.61433653,172,4.46386654,6.664246341,1.847591581,81,14.71005122,18.90948735
Poland,Eastern Europe,Upper-Middle,Multi-payer,5.506102082,313,3.464403826,75.69062608,7.591005073,75.77490595,87.69888013,31,5.399516643,7.216168811,4.154056168,23,64.18860934,17.75210857
Chad,Africa,Low,Multi-payer,4.464066084,24,0.194088011,69.58072543,56.57363598,53.71580599,71.94035219,95,3.006553,4.399564081,1.552315006,49,29.04555743,20.89221237
Solomon Islands,Oceania,Lower-Middle,Single-payer,5.989545396,199,0.820421649,72.02607647,20.72194205,64.04409142,73.69500011,34,4.8951616,6.876142224,3.807462824,32,55.40299958,15.27606139
Norway,Western Europe,High,Single-payer,15.5407847,312,4.645036401,80.18043647,6.500733928,89.61249389,97.20444107,85,9.794839999,11.89956417,5.219102128,10,80.53121402,2.19820067
Latvia,Eastern Europe,Upper-Middle,Single-payer,6.458223609,198,3.424150168,76.80757515,8.114242637,78.74295399,87.98980022,33,7.371046518,7.820930953,3.726865005,29,71.93138817,11.77481804
Madagascar,Africa,Low,Mixed,3.880729582,58,0.228693861,69.19821395,52.45793107,-0.611780532,41.52455668,49,4.248452613,5.245666183,1.33641975,54,27.35258443,27.71258588
Australia,Oceania,High,Single-payer,12.09000534,474,4.529373583,79.66049067,1.79383518,97.64371749,87.81723678,87,8.443534965,12.71105083,5.415401709,14,78.58022544,4.523743897
Poland,Eastern Europe,Upper-Middle,Multi-payer,4.977242127,305,3.591273923,76.20384928,7.555135473,74.07224716,86.98191038,29,4.790678345,7.651480741,3.932671536,23,64.96835409,17.77872931
Maldives,South Asia,Upper-Middle,Mixed,7.262714922,167,2.789208955,70.84432102,10.50208132,87.02872809,85.7130669,72,4.994816521,7.168818268,2.174396164,20,59.6750328,11.15781951
USA,North America,High,Multi-payer,18.88930734,362,7.65577821,77.79589762,4.286482986,87.32091167,83.26860294,26,8.032476146,9.471695874,6.465828537,14,80.9158043,1.356757873
Somalia,Africa,Low,Mixed,2.688691364,60,0.492532972,61.12936228,55.51227525,15.13719692,54.91284556,45,3.466696482,5.860093298,1.227835668,74,20.10126278,33.35433018
Bangladesh,South Asia,Low,Mixed,3.770111654,60,0.692953198,52.13302672,59.36984245,45.69807555,56.36469273,170,4.955461439,6.502345403,1.912753183,71,13.8438399,18.46944681
Serbia,Eastern Europe,Lower-Middle,Mixed,6.841420801,222,1.721984057,74.36952261,26.38850293,42.01748241,50.33666767,24,5.086329645,6.534410428,2.8813236,41,49.24618808,12.6711231
Congo,Africa,Low,Single-payer,1.073464003,33,0.800784602,69.47750517,56.26438225,58.42944262,45.4828876,96,3.549531174,5.284912942,2.179977794,74,26.37507865,104.571041
Taiwan,East Asia,High,Single-payer,10.96776466,497,5.846051859,85.09612818,4.735648835,95.52668701,85.74853146,25,6.442941173,11.02020143,6.644509873,13,82.6093797,7.885160235
Ghana,Africa,Lower-Middle,Mixed,2.029799121,85,1.866444109,67.69448872,21.70978922,47.04324021,56.6997899,101,5.366500501,5.895193737,2.997615732,38,46.27181451,45.71789383
Ivory Coast,Africa,Lower-Middle,Mixed,5.134159754,163,2.079040716,72.38412088,25.12276607,64.36374688,72.90552868,44,6.794071803,8.287142627,3.215755264,32,53.80894197,20.72117011
Papua New Guinea,Oceania,Lower-Middle,Single-payer,4.942457792,174,1.373885235,70.37921954,26.57894892,61.58752191,62.02084231,55,6.051606189,6.906766404,3.653832328,36,49.37075171,15.04002062
Mozambique,Africa,Low,Mixed,1.299250747,114,0.804301132,64.06654354,27.15848604,26.34412134,42.19204492,106,3.967351646,5.318199696,1.072798444,88,31.81552951,71.14631896
Somalia,Africa,Low,Mixed,2.646292434,57,0.488461874,60.94527332,50.50901951,15.07935693,56.86266954,45,3.301367565,6.883327064,1.448494998,68,20.6736189,32.05703837
Mozambique,Africa,Low,Mixed,1.434382107,124,0.88741674,65.22065418,23.35156637,26.12107533,41.35559425,96,4.166088646,4.599990613,1.15449773,81,31.31009882,74.88616754
Italy,Western Europe,High,Single-payer,9.695842957,374,5.136639276,78.42708047,2.032868534,108.5739534,71.6350507,104,8.205789706,12.59072167,7.405176298,10,77.44264249,9.090053328
Niger,Africa,Low,Mixed,3.646869822,140,0.953349647,52.21272743,37.39551537,-4.439923656,64.6055281,89,2.725648499,1.937976254,1.30239656,71,16.80757024,19.17415516
Singapore,East Asia,High,Single-payer,4.412337041,438,3.161398382,82.84169845,6.846521875,94.22115705,114.3519513,25,8.529343971,14.69281905,6.740435392,12,82.61537605,27.69041126
Nepal,South Asia,Low,Mixed,3.462665458,86,1.531066365,59.28579779,58.32563933,51.16442167,52.86498094,93,3.898552557,5.70449091,2.485328426,58,22.85596598,21.80187749
Albania,Eastern Europe,Lower-Middle,Single-payer,3.484179408,123,1.898884096,68.43655671,27.33235468,74.15893174,51.1534325,41,6.382704657,5.584581666,2.994979029,41,46.12243767,27.8600879
North Korea,East Asia,Low,Single-payer,3.495512114,94,1.06344417,61.94136569,38.03088721,54.28089655,35.78522324,77,2.52095002,3.031617506,5.434932369,88,27.06074621,20.46391794
UK,Western Europe,High,Single-payer,9.9687349,378,6.628987795,81.96868254,2.817063973,95.62081296,84.32194861,82,8.449893387,12.5893767,7.237560781,14,81.05223025,7.55487783
Oman,Middle East,High,Mixed,13.12156465,330,5.344239042,83.16401062,6.079442136,90.50923266,82.79803296,86,8.701456161,9.25769335,4.653111348,17,73.82570147,4.753842155
UAE,Middle East,High,Single-payer,8.013165659,555,4.715950145,82.33580019,3.059349999,86.95840971,84.29801766,85,7.39575007,13.11353554,3.164668718,19,78.05846225,10.86634111
Bulgaria,Eastern Europe,Upper-Middle,Mixed,5.167306904,147,3.803205808,73.13521788,10.46610705,74.51176586,75.26604416,46,6.536174486,8.428885699,3.869408318,17,61.17871352,16.65933301
Solomon Islands,Oceania,Lower-Middle,Single-payer,5.049171831,187,0.775099805,72.09507657,20.95793847,62.1785709,71.87969389,34,5.025751299,6.349738862,3.941168466,30,54.85997533,16.14510835
Somalia,Africa,Low,Mixed,2.696234049,57,0.486737314,60.90913466,54.95784227,15.70951126,55.86877219,43,3.200054491,6.249554011,1.230290042,72,20.11894054,33.92565165
Fiji,Oceania,Upper-Middle,Multi-payer,5.012181577,314,2.710539906,79.2973944,7.123643307,91.17563948,80.6376516,64,4.804641899,12.72349965,2.99300309,17,68.61834141,19.14349712
Philippines,East Asia,Lower-Middle,Multi-payer,2.891073626,231,1.036724809,74.94234894,22.78849896,40.48474604,96.0220942,108,4.867085929,8.095235895,6.153699306,40,52.36717475,32.27003227
Russia,Eastern Europe,Upper-Middle,Mixed,6.783731394,237,1.690089578,73.53268312,6.713223007,87.51102814,74.53767193,18,7.827800072,9.364603304,4.333812795,19,68.48533754,10.8310041
Slovakia,Eastern Europe,Upper-Middle,Single-payer,6.881874802,240,2.895434037,75.94786006,13.04132032,70.64212298,74.7411124,26,5.673446726,9.593668523,4.351502292,19,63.06781432,10.9473005
Iceland,Western Europe,High,Single-payer,17.21278403,535,2.958948486,81.39693966,7.853784487,104.3916048,81.51826422,48,9.650951054,12.09465584,7.57046218,9,81.14186784,1.906536204
Denmark,Western Europe,High,Single-payer,16.19901722,566,7.007569687,82.51039027,1.897120555,94.56311999,86.72285287,82,7.64127907,10.7118848,7.645532467,14,80.30996227,3.309114296
Bangladesh,South Asia,Low,Mixed,3.760384745,63,0.621475223,52.95245522,59.68111922,44.81521427,57.70507197,175,4.954554808,6.422941992,1.875249201,67,14.26047369,20.1838654
Montenegro,Eastern Europe,Lower-Middle,Single-payer,4.19056593,103,1.13207784,70.18623403,13.48253823,42.54282147,53.13417182,32,3.83299685,6.114869043,3.030169394,38,47.21654255,24.35508348
Bulgaria,Eastern Europe,Upper-Middle,Mixed,5.440305701,171,4.129927466,73.80305125,9.841765487,69.34556096,70.39826804,45,6.617787271,8.358477617,4.031187097,17,66.51634116,16.90145414
Austria,Western Europe,High,Mixed,10.0248296,427,4.015120076,79.64876596,6.541505327,87.27636222,85.90825328,55,8.648528738,12.93043338,7.727244991,21,78.51403887,8.631069462
Nepal,South Asia,Low,Mixed,3.578746302,81,1.347324159,59.38176605,60.80284261,47.55140347,50.60123996,104,4.013192272,5.519684803,2.404024997,52,23.57041814,22.02038574
Serbia,Eastern Europe,Lower-Middle,Mixed,6.883592431,224,1.735868474,73.18540174,24.38021267,41.89709969,51.34195122,26,5.33421178,6.547701804,2.946994839,36,49.64455267,12.75894362
Iceland,Western Europe,High,Single-payer,18.43849644,552,3.095279505,81.58735342,7.664625601,102.3582877,80.19301674,54,8.20892993,12.06846903,6.943981838,9,78.69076669,1.905924456
Bolivia,South America,Lower-Middle,Single-payer,4.414155072,212,1.623322531,69.62456007,13.17680315,54.74344261,79.67689536,47,4.768303277,7.703397591,2.349423252,37,55.14690852,20.94795609
